section,key,hebrew,english
Onboarding,recoveryLogin.errorShort,הקוד קצר מדי - בדוק שהזנת אותו במלואו,Code is too short — make sure you entered it fully
Onboarding,recoveryLogin.errorNotFound,קוד לא נמצא. בדוק שהזנת בדיוק את הקוד שקיבלת.,Code not found. Make sure it matches exactly what you received.
Onboarding,recoveryLogin.errorNoPool,ההימור שמשויך לקוד הזה לא נמצא,The pool linked to this code could not be found
Onboarding,recoveryLogin.success,"ברוך שובך, {nickname}!","Welcome back, {nickname}!"
Onboarding,welcome.noSignup,"קוד פתוח · ללא איסוף מידע אישי · <a href=""https://github.com/Aviatorpo/friendlybet"" target=""_blank"" rel=""noopener"">GitHub</a>","Open source · No personal data collected · <a href=""https://github.com/Aviatorpo/friendlybet"" target=""_blank"" rel=""noopener"">GitHub</a>"
Onboarding,create.title,צור הימור חדש,Create New Pool
Onboarding,create.poolName,שם ההימור,Pool Name
Onboarding,create.poolNamePlaceholder,למשל: ההימור של החבר'ה,e.g. The Boys Pool
Onboarding,create.nickname,הכינוי שלך,Your Nickname
Onboarding,create.nicknamePlaceholder,איך תופיע בלוח הדירוג,How you appear on the leaderboard
Onboarding,create.button,צור הימור,Create Pool
Onboarding,join.title,הצטרף להימור,Join Pool
Onboarding,join.whichPool,איזה הימור?,Which Pool?
Onboarding,join.enterCode,הזן את קוד ההימור שקיבלת,Enter the pool code you received
Onboarding,join.code,קוד ההימור,Pool Code
Onboarding,join.codePlaceholder,"5 אותיות, למשל: ABCDE","5 letters, e.g. ABCDE"
Onboarding,join.nickname,הכינוי שלך,Your Nickname
Onboarding,join.nicknamePlaceholder,איך תופיע בלוח הדירוג,How you appear on the leaderboard
Onboarding,join.button,הצטרף,Join
Onboarding,join.invitedTo,הוזמנת ל,You\'re invited to
Onboarding,join.poolCode,קוד,Code
Onboarding,join.findError,הקוד לא נמצא. בדוק שוב.,Code not found. Try again.
Onboarding,join.poolLocked,ההימור נעול,Pool Locked
Onboarding,join.poolLockedDesc,המארגן נעל את ההימור. לא ניתן להצטרף.,The admin has locked this pool. Cannot join.
Onboarding,recovery.title,התחברות עם קוד שחזור,Login with Recovery Code
Onboarding,recovery.code,הקוד שלך,Your Code
Onboarding,recovery.codePlaceholder,16 תווים,16 characters
Onboarding,recovery.button,התחבר,Log In
Onboarding,recoveryCode.title,שמור את קוד השחזור!,Save your recovery code!
Onboarding,recoveryCode.subtitle,תזדקק לו כדי להיכנס שוב מטלפון אחר,You\'ll need it to log in from another device
Onboarding,recoveryCode.warning,הקוד הזה לא יוצג שוב. שמור אותו במקום בטוח.,This code won\'t be shown again. Save it somewhere safe.
Onboarding,recoveryCode.continue,"הבנתי, המשך","Got it, continue"
Onboarding,recoveryCode.copyButton,העתק קוד,Copy code
Dashboard,dashboard.greeting,היי,Hi
Dashboard,dashboard.your,ההימור שלך,Your Pool
Dashboard,dashboard.points,נקודות,Points
Dashboard,dashboard.rank,מקום,Rank
Dashboard,dashboard.position,בלוח,on leaderboard
Dashboard,dashboard.poolCode,קוד הימור,Pool code
Dashboard,dashboard.share,שתף,Share
Dashboard,dashboard.myRank,המקום שלך,Your rank
Dashboard,dashboard.myBets,ההימורים שלי,My predictions
Dashboard,dashboard.status.groups,שלב הבתים,Group stage
Dashboard,dashboard.status.knockout,שלב הנוקאאוט,Knockout stage
Dashboard,dashboard.status.topScorer,מלך השערים,Top scorer
Dashboard,dashboard.status.notStarted,עדיין לא הימרת,
Dashboard,dashboard.status.partialGroups,הימרת על {n} מתוך 32,Picked {n} of 32
Dashboard,dashboard.status.completedGroups,הושלם · 32 קבוצות,Done · 32 teams
Dashboard,dashboard.status.afterGroups,נפתח אחרי שלב הבתים,Opens after group stage
Dashboard,dashboard.status.koReady,מוכן להמר על 31 משחקים,Ready to predict 31 matches
Dashboard,dashboard.status.partialKo,הימרת על {n} מתוך 31,Picked {n} of 31
Dashboard,dashboard.status.completedKo,הושלם · 31 משחקים,Done · 31 matches
Dashboard,dashboard.status.topScorerLocked,נפתח בקרוב,Opens soon
Dashboard,dashboard.action.start,התחל,Start
Dashboard,dashboard.action.continue,המשך,Continue
Dashboard,dashboard.action.edit,ערוך,Edit
Dashboard,dashboard.invite.title,הזמן חברים להימור,Invite friends to pool
Dashboard,dashboard.invite.subtitle,שלח קישור ב-WhatsApp או Telegram,Send a link via WhatsApp or Telegram
Dashboard,dashboard.quickAction.leaderboard,דירוג,Leaderboard
Dashboard,dashboard.quickAction.help,עזרה,Help
Dashboard,dashboard.menu.title,תפריט,Menu
Dashboard,dashboard.role.member,משתתף,Member
Dashboard,dashboard.role.adminMember,מארגן ומשתתף,Admin & Member
Dashboard,dashboard.fallback.nickname,משתמש,User
Dashboard,dashboard.fallback.poolName,הימור,Pool
Dashboard,dashboard.menu.invite,הזמן חברים להימור,Invite friends to pool
Dashboard,dashboard.menu.myInfo,המידע שלי,My info
Dashboard,dashboard.menu.showRecovery,הצג קוד שחזור,Show recovery code
Dashboard,dashboard.menu.members,רשימת משתתפים,Members list
Dashboard,dashboard.menu.leaderboard,לוח דירוגים,Leaderboard
Dashboard,dashboard.menu.matches,לוח משחקים,Match schedule
Dashboard,dashboard.menu.bracket,שלב הנוקאאוט,Bracket
Dashboard,dashboard.menu.topScorer,מלך השערים,Top Scorer
Dashboard,dashboard.menu.help,עזרה ושאלות נפוצות,Help & FAQ
Dashboard,dashboard.menu.admin,אזור מארגן,Admin area
Dashboard,dashboard.menu.manageMembers,ניהול חברים,Manage members
Dashboard,dashboard.menu.settings,הגדרות ההימור,Pool settings
Dashboard,dashboard.menu.preferences,הגדרות,Preferences
Dashboard,dashboard.menu.language,שפה,Language
Dashboard,dashboard.menu.leave,התנתק מההימור,Leave pool
Dashboard,dashboard.action.groups,הימור על בתים,Group Stage Predictions
Dashboard,dashboard.action.groups.desc,בחר את הקבוצות שיעלו לנוקאאוט,Pick which teams will advance to knockout
Dashboard,dashboard.action.knockout,הימור על נוקאאוט,Knockout Predictions
Dashboard,dashboard.action.knockout.desc,נחש מי יעלה מ-32 הקבוצות,Predict winners of the 32 advancing teams
Dashboard,dashboard.action.topScorer,מלך השערים,Top Scorer
Dashboard,dashboard.action.topScorer.desc,נחש מי יבקיע הכי הרבה שערים,Pick who will score the most goals
Dashboard,dashboard.action.simulator,סימולטור סיכון,Risk Simulator
Dashboard,dashboard.action.simulator.desc,תכנן אסטרטגיה עם הימור על אנדרדוגים,Plan your strategy with underdog bets
Dashboard,dashboard.poolLocked,ההימור נעול - לא ניתן לשנות בחירות,Pool locked - predictions cannot be changed
Dashboard,dashboard.poolLockedShort,נעול,Locked
Group Betting,groups.title,הימור על בתים,Group Stage Predictions
Group Betting,groups.group,בית,Group
Group Betting,groups.pickInstructions,בחר 2 או 3 קבוצות מהבית הזה,Pick 2 or 3 teams from this group
Group Betting,groups.advance,יעלו לנוקאאוט,will advance to knockout
Group Betting,groups.tier.favorite,פייבוריט,Favorite
Group Betting,groups.tier.contender,מתחרה,Contender
Group Betting,groups.tier.underdog,אנדרדוג,Underdog
Group Betting,groups.tier.favorite.multi,×1,×1
Group Betting,groups.tier.contender.multi,×1.5,×1.5
Group Betting,groups.tier.underdog.multi,×2,×2
Group Betting,groups.minPicks,בחר לפחות 2,Pick at least 2
Group Betting,groups.maxReached,כבר בחרת 3 קבוצות. הסר אחת לפני שתוסיף עוד,You already picked 3 teams. Remove one to add more
Group Betting,groups.finishBetting,סיים את ההימור,Finish predictions
Group Betting,groups.nextGroup,בית,Group {letter}
Group Betting,groups.completed,השלמת את כל הבתים!,You completed all groups!
Group Betting,groups.savingPicks,שומר...,Saving...
Group Betting,groups.savedPicks,נשמר ✓,Saved ✓
Group Betting,groups.picksSaved,הבחירות נשמרו,Predictions saved
Knockout,knockout.title,הימור על נוקאאוט,Knockout Predictions
Knockout,knockout.r32,סבב 32,Round of 32
Knockout,knockout.r16,שמינית גמר,Round of 16
Knockout,knockout.qf,רבע גמר,Quarter-Finals
Knockout,knockout.sf,חצי גמר,Semi-Finals
Knockout,knockout.final,גמר,Final
Knockout,knockout.pickWinner,בחר את המנצח,Pick the winner
Knockout,knockout.tbd,יעודכן בהמשך,TBD
Top Scorer,topScorer.title,מלך השערים,Top Scorer
Top Scorer,topScorer.heroTitle,נחש את מלך השערים,Predict the Top Scorer
Top Scorer,topScorer.heroDesc,מי יבקיע הכי הרבה שערים במונדיאל?,Who will score the most goals at the World Cup?
Top Scorer,topScorer.heroBonus,+25 נקודות בונוס,+25 bonus points
Top Scorer,topScorer.heroBonusEnd,אם תנחש נכון!,if you predict correctly!
Top Scorer,topScorer.searchPlaceholder,חיפוש שחקן (באנגלית בלבד)...,Search player (English only)...
Top Scorer,topScorer.hintsTitle,💡 דוגמאות לחיפוש:,💡 Search examples:
Top Scorer,topScorer.hintsNote,"ניתן לחפש לפי שם השחקן, חלק מהשם, או קוד הקבוצה (3 אותיות באנגלית)","Search by player name, partial name, or team code (3 letters)"
Top Scorer,topScorer.teamSuffix,(קבוצה),(team)
Top Scorer,page.title,FriendlyBet · הימור חברים על מונדיאל 2026,FriendlyBet · Friends World Cup 2026 predictions
Top Scorer,page.description,"הימור חברים על מונדיאל 2026 - חינמי, בלי פרסומות, בלי כסף","Friends World Cup 2026 predictions — free, no ads, no money"
Top Scorer,topScorer.team,קבוצה,Team
Top Scorer,topScorer.noResults,לא נמצאו שחקנים,No players found
Top Scorer,topScorer.tryOther,נסה לחפש שם אחר,Try a different name
Top Scorer,topScorer.yourPick,הבחירה שלך:,Your pick:
Top Scorer,topScorer.changePick,שנה בחירה,Change pick
Top Scorer,topScorer.clearPick,נקה בחירה,Clear pick
Top Scorer,topScorer.confirmChange,להחליף את הבחירה?,Change your pick?
Top Scorer,topScorer.picked,בחרת ב-,You picked 
Top Scorer,topScorer.cleared,הבחירה בוטלה,Pick cleared
Top Scorer,topScorer.star,כוכב,Star
Top Scorer,topScorer.locked.title,מלך השערים יפתח בקרוב,Top Scorer opens soon
Top Scorer,topScorer.locked.desc,נחכה לפרסום הסגלים הרשמיים על-ידי FIFA,Waiting for official squad lists from FIFA
Top Scorer,topScorer.locked.daysUntil,ימים עד תחילת המונדיאל,days until World Cup starts
Top Scorer,topScorer.locked.lastCheck,בדיקה אחרונה,Last check
Risk Simulator,simulator.title,סימולטור סיכון,Risk Simulator
Risk Simulator,simulator.desc,תכנן את האסטרטגיה שלך,Plan your strategy
Risk Simulator,simulator.totalBets,"סה""כ בחירות",Total picks
Risk Simulator,simulator.expectedPoints,נקודות צפויות,Expected points
Risk Simulator,simulator.byTier,לפי דרגה:,By tier:
Risk Simulator,simulator.recommendation,המלצה,Recommendation
Leaderboard,leaderboard.title,לוח דירוגים,Leaderboard
Leaderboard,leaderboard.rank,מקום,Rank
Leaderboard,leaderboard.player,שחקן,Player
Leaderboard,leaderboard.points,נקודות,Points
Leaderboard,leaderboard.groups,בתים,Groups
Leaderboard,leaderboard.knockout,נוקאאוט,Knockout
Leaderboard,leaderboard.bonus,בונוס,Bonus
Leaderboard,leaderboard.total,"סה""כ",Total
Leaderboard,leaderboard.notStarted,עדיין לא הימר,Not started yet
Leaderboard,leaderboard.partial,הימר על,Made
Leaderboard,leaderboard.partialPicks,בחירות,picks
Leaderboard,leaderboard.complete,השלים את הבתים,Completed groups
Leaderboard,leaderboard.you,(אתה),(you)
Leaderboard,leaderboard.empty,אין משתתפים,No participants
Leaderboard,leaderboard.joinedToday,הצטרף היום,Joined today
Leaderboard,leaderboard.joinedYesterday,הצטרף אתמול,Joined yesterday
Leaderboard,leaderboard.joinedDaysAgo,הצטרף לפני {n} ימים,Joined {n} days ago
Leaderboard,leaderboard.joinedOn,הצטרף ב-{date},Joined on {date}
Leaderboard,leaderboard.fullRanking,דירוג מלא,Full ranking
Leaderboard,leaderboard.emptyTitle,הטורניר עוד לא התחיל,Tournament hasn\'t started yet
Leaderboard,leaderboard.emptyText,הניקוד יחושב אחרי שיתחילו המשחקים,Scores will be calculated after matches begin
Leaderboard,leaderboard.participantsCount,{n} משתתפים,{n} participants
Leaderboard,leaderboard.statusBefore,לפני התחלת הטורניר,Before tournament starts
Leaderboard,leaderboard.statusDuring,במהלך הטורניר,Tournament in progress
Leaderboard,leaderboard.podiumEmpty,ריק,Empty
Leaderboard,leaderboard.noPointsYet,עדיין בלי נקודות,No points yet
Leaderboard,leaderboard.loadError,שגיאה בטעינת הדירוג,Failed to load leaderboard
Leaderboard,leaderboard.shareText,🏆 לוח הדירוגים של {poolName}!\n\nהצטרף ל-FriendlyBet והתחרה איתנו על מונדיאל 2026:\n{url},🏆 Leaderboard for {poolName}!\n\nJoin FriendlyBet and compete with us on World Cup 2026:\n{url}
Matches,matches.title,לוח משחקים,Match Schedule
Matches,matches.filter.all,הכל,All
Matches,matches.filter.live,חי,Live
Matches,matches.filter.today,היום,Today
Matches,matches.filter.upcoming,עתידי,Upcoming
Matches,matches.empty,אין משחקים להצגה,No matches to display
Matches,matches.live,חי,LIVE
Matches,matches.finished,הסתיים,Final
Matches,matches.scheduled,מתוכנן,Scheduled
Matches,matches.matchNum,משחק,Match
Matches,matches.youPredicted,ניחשת:,Your pick:
Matches,matches.correctPrediction,ניחשת נכון! +{n} נק\',Correct! +{n} pts
Matches,matches.wrongPrediction,לא ניחשת נכון,Wrong prediction
Bracket,bracket.title,שלב הנוקאאוט,Bracket
Bracket,bracket.r16,שמינית גמר,Round of 16
Bracket,bracket.qf,רבע גמר,Quarter-Finals
Bracket,bracket.sf,חצי גמר,Semi-Finals
Bracket,bracket.final,גמר,Final
Bracket,bracket.champion,אלוף,Champion
Members,members.title,רשימת משתתפים,Members
Members,members.count,{n} משתתפים,{n} members
Members,members.pending,{n} ממתינים לאישור,{n} pending approval
Members,members.empty,אין משתתפים בהימור,No members yet
Admin,admin.title,אזור מארגן,Admin area
Admin,admin.members.title,ניהול חברים,Manage Members
Admin,admin.members.total,"סה""כ",Total
Admin,admin.members.pending,ממתינים,Pending
Admin,admin.members.complete,השלימו,Completed
Admin,admin.members.approve,אשר,Approve
Admin,admin.members.reject,הסר,Remove
Admin,admin.members.pendingBadge,⏳ ממתין לאישור,⏳ Pending approval
Admin,admin.members.poolLocked,ההימור נעול - לא ניתן לאשר/לדחות,Pool locked - cannot approve/reject
Admin,admin.member.actions,פעולות,Actions
Admin,admin.member.generateCode,צור קוד שחזור חדש,Generate new recovery code
Admin,admin.member.remove,הסר מההימור,Remove from pool
Admin,admin.member.confirmRemove,להסיר את {name} מההימור?,Remove {name} from the pool?
Admin,admin.member.removed,המשתמש הוסר,Member removed
Admin,admin.member.approved,המשתמש אושר,Member approved
Admin,admin.member.rejected,המשתמש הוסר,Member removed
Admin,admin.settings.title,הגדרות ההימור,Pool Settings
Admin,admin.settings.poolStatus,מצב ההימור,Pool Status
Admin,admin.settings.locked,נעול,Locked
Admin,admin.settings.unlocked,פתוח,Open
Admin,admin.settings.lockBtn,נעל את ההימור,Lock pool
Admin,admin.settings.unlockBtn,פתח את ההימור,Unlock pool
Admin,admin.settings.lockDesc,כשנעול - אי אפשר לשנות בחירות. אישור חברים חדשים מבוטל.,When locked - predictions can\'t be changed. New member approval disabled.
Admin,admin.settings.scoring,ניקוד,Scoring
Admin,admin.settings.scoring.groups,בית (כל ניחוש נכון),Group stage (per correct pick)
Admin,admin.settings.scoring.r32,שמינית גמר,Round of 32
Admin,admin.settings.scoring.r16,שמינית גמר,Round of 16
Admin,admin.settings.scoring.qf,רבע גמר,Quarter-Finals
Admin,admin.settings.scoring.sf,חצי גמר,Semi-Finals
Admin,admin.settings.scoring.final,גמר,Final
Admin,admin.settings.scoring.topScorer,מלך השערים,Top Scorer
Admin,admin.settings.reset,אפס לברירת מחדל,Reset to default
Admin,admin.settings.confirmReset,לאפס את הניקוד לברירת המחדל?,Reset scoring to default?
Sharing / Invite,invite.title,הזמן חברים להימור,Invite friends to pool
Sharing / Invite,invite.desc,שתף את הקישור הזה כדי להזמין חברים,Share this link to invite friends
Sharing / Invite,invite.code,קוד ההימור,Pool code
Sharing / Invite,invite.link,קישור הזמנה,Invite link
Sharing / Invite,invite.whatsapp,WhatsApp,WhatsApp
Sharing / Invite,invite.telegram,Telegram,Telegram
Sharing / Invite,invite.qr,QR,QR
Sharing / Invite,invite.copy,העתק,Copy
Sharing / Invite,invite.shareText,הצטרף להימור שלי על המונדיאל!,Join my World Cup prediction pool!
Help,help.title,עזרה ושאלות נפוצות,Help & FAQ
Help,help.intro,FriendlyBet הוא משחק חברתי להימור על המונדיאל,FriendlyBet is a social World Cup prediction game
Toasts / Messages,toast.poolCreated,ההימור נוצר בהצלחה!,Pool created successfully!
Toasts / Messages,toast.joined,הצטרפת בהצלחה,Joined successfully
Toasts / Messages,toast.loginSuccess,התחברת בהצלחה,Logged in successfully
Toasts / Messages,toast.invalidCode,קוד שגוי,Invalid code
Toasts / Messages,toast.poolNotFound,ההימור לא נמצא,Pool not found
Toasts / Messages,toast.copyError,שגיאה בהעתקה,Copy failed
Toasts / Messages,toast.copied,הועתק ללוח,Copied to clipboard
Toasts / Messages,toast.recoveryNew,קוד שחזור חדש נוצר,New recovery code generated
Toasts / Messages,toast.offline,אתה כרגע במצב לא מקוון,You are offline
Toasts / Messages,toast.online,חזרת למצב מקוון,Back online
Toasts / Messages,toast.poolLocked,ההימור נעול,Pool locked
Toasts / Messages,toast.poolUnlocked,ההימור נפתח,Pool unlocked
Toasts / Messages,toast.loadError,שגיאה בטעינה,Failed to load
Confirmations,confirm.leave,להתנתק מההימור?,Leave the pool?
Confirmations,confirm.leaveDesc,תוכל לחזור בעזרת קוד השחזור.,You can return with your recovery code.
Confirmations,confirm.alreadyInPool,אתה כבר בהימור אחר,You\'re already in another pool
Confirmations,confirm.alreadyInPoolDesc,"כדי להצטרף ל-{name}, עליך להתנתק קודם מההימור הנוכחי.","To join {name}, you must leave your current pool first."
Dates / Time,date.today,היום,Today
Dates / Time,date.tomorrow,מחר,Tomorrow
Dates / Time,date.yesterday,אתמול,Yesterday
Country Names,country.ARG,ארגנטינה,Argentina
Country Names,country.BRA,ברזיל,Brazil
Country Names,country.FRA,צרפת,France
Country Names,country.ENG,אנגליה,England
Country Names,country.ESP,ספרד,Spain
Country Names,country.POR,פורטוגל,Portugal
Country Names,country.NED,הולנד,Netherlands
Country Names,country.GER,גרמניה,Germany
Country Names,country.BEL,בלגיה,Belgium
Country Names,country.CRO,קרואטיה,Croatia
Country Names,country.URU,אורוגוואי,Uruguay
Country Names,country.USA,"ארה""ב",USA
Country Names,country.MEX,מקסיקו,Mexico
Country Names,country.SUI,שוויץ,Switzerland
Country Names,country.AUT,אוסטריה,Austria
Country Names,country.SWE,שבדיה,Sweden
Country Names,country.SEN,סנגל,Senegal
Country Names,country.MAR,מרוקו,Morocco
Country Names,country.JPN,יפן,Japan
Country Names,country.KOR,דרום קוריאה,South Korea
Country Names,country.AUS,אוסטרליה,Australia
Country Names,country.CAN,קנדה,Canada
Country Names,country.UKR,אוקראינה,Ukraine
Country Names,country.TUR,טורקיה,Turkey
Country Names,country.NOR,נורווגיה,Norway
Country Names,country.IRN,איראן,Iran
Country Names,country.TUN,תוניסיה,Tunisia
Country Names,country.EGY,מצרים,Egypt
Country Names,country.CMR,קמרון,Cameroon
Country Names,country.GHA,גאנה,Ghana
Country Names,country.PAN,פנמה,Panama
Country Names,country.JAM,ג\'מייקה,Jamaica
Country Names,country.PAR,פרגוואי,Paraguay
Country Names,country.NZL,ניו זילנד,New Zealand
Country Names,country.UZB,אוזבקיסטן,Uzbekistan
Country Names,country.IRQ,עיראק,Iraq
Country Names,country.SAU,סעודיה,Saudi Arabia
Country Names,country.JOR,ירדן,Jordan
Country Names,country.RSA,דרום אפריקה,South Africa
Country Names,country.ALG,אלג\'יריה,Algeria
Country Names,country.CZE,צ\'כיה,Czechia
Country Names,country.HAI,האיטי,Haiti
Country Names,country.BIH,בוסניה,Bosnia
Country Names,country.CPV,כף ורדה,Cape Verde
Country Names,country.COD,קונגו,DR Congo
Country Names,country.CIV,חוף השנהב,Ivory Coast
Country Names,country.QAT,קטאר,Qatar
Country Names,country.SCO,סקוטלנד,Scotland
Country Names,country.CUR,קוראסאו,Curaçao
Extended common,common.tournament,טורניר,Tournament
Extended common,common.tournamentName,מונדיאל 2026,World Cup 2026
Extended common,common.status,סטטוס,Status
Extended common,common.matches,משחקים,matches
Extended common,common.members,חברים,members
Extended common,common.minutes,דקות,minutes
Extended common,common.hours,שעות,hours
Extended common,common.justNow,הרגע,just now
Extended common,common.refresh,רענן,Refresh
Extended common,common.zoom,הגדל,Zoom
Extended common,common.invite,הזמן,Invite
Extended common,common.saveExit,שמור וצא,Save & exit
Extended common,common.simulator,סימולטור,Simulator
Extended common,common.processing,מעבד...,Processing...
PWA install banner,pwa.title,התקן את האפליקציה,Install the app
PWA install banner,pwa.text,"גישה מהירה מהמסך הראשי, ללא דפדפן","Quick access from home screen, no browser"
PWA install banner,pwa.install,התקן,Install
PWA install banner,pwa.installed,🎉 האפליקציה הותקנה!,🎉 App installed!
PWA install banner,pwa.installing,🎉 מתקין...,🎉 Installing...
PWA install banner,pwa.iosInstructions,"להתקנת האפליקציה ב-iPhone/iPad:\n\n1. לחץ על כפתור השיתוף ⎙ למטה\n2. גלול ובחר ""הוסף למסך הבית""\n3. לחץ ""הוסף""\n\nהאפליקציה תופיע במסך הבית כמו אפליקציה רגילה!","To install on iPhone/iPad:\n\n1. Tap the share button ⎙ below\n2. Scroll and choose ""Add to Home Screen""\n3. Tap ""Add""\n\nThe app will appear on your home screen like a normal app!"
PWA install banner,pwa.desktopInstructions,"להתקנת האפליקציה:\n\n• Chrome/Edge: יופיע כפתור ""התקן"" בשורת הכתובת\n• Firefox: לחץ על שלוש הנקודות → ""התקן""\n• או הוסף לסימניות","To install the app:\n\n• Chrome/Edge: An ""Install"" button appears in the address bar\n• Firefox: Tap the three dots → ""Install""\n• Or add to bookmarks"
PWA install banner,pwa.updateAvailable,🔄 גרסה חדשה זמינה,🔄 New version available
PWA install banner,pwa.update,עדכן,Update
PWA install banner,pwa.online,🌐 מחובר לאינטרנט,🌐 Back online
PWA install banner,pwa.offline,אין חיבור לאינטרנט - חלק מהפיצ\'רים מוגבלים,No internet — some features are limited
Pool found screen,poolFound.title,פרטי ההימור,Pool details
Pool found screen,poolFound.membersValue,{n} חברים,{n} members
Pool found screen,poolFound.statusOpen,פתוח להצטרפות,Open to join
Pool found screen,poolFound.statusGroupLocked,שלב הבתים סגור,Group stage closed
Pool found screen,poolFound.statusKnockout,בשלב הנוקאאוט,In knockout stage
Pool found screen,poolFound.statusFinished,הסתיים,Finished
Nickname screen,nickname.step,שלב 1 מתוך 2,Step 1 of 2
Nickname screen,nickname.title,איך נקרא לך?,What should we call you?
Nickname screen,nickname.subtitle,הכינוי יוצג בלוח הדירוגים,Your nickname appears on the leaderboard
Nickname screen,nickname.placeholder,לדוגמה: דני,e.g. Danny
Nickname screen,nickname.checking,בודק זמינות...,Checking availability...
Nickname screen,nickname.taken,"הכינוי תפוס, נסה אחר","Nickname taken, try another"
Nickname screen,nickname.available,הכינוי פנוי!,Nickname available!
Nickname screen,nickname.errorRequired,נא להזין כינוי,Please enter a nickname
Nickname screen,nickname.errorMin,הכינוי חייב להיות לפחות {n} תווים,Nickname must be at least {n} characters
Nickname screen,nickname.errorMax,הכינוי לא יכול לחרוג מ-{n} תווים,Nickname must be at most {n} characters
Nickname screen,nickname.errorTaken,הכינוי כבר תפוס בהימור הזה,Nickname already taken in this pool
Recovery code creation,recoveryCode.step,שלב 2 מתוך 2,Step 2 of 2
Recovery code creation,recoveryCode.sendSelf,שלח לעצמי,Send to myself
Recovery code creation,recoveryCode.warningTitle,חשוב!,Important!
Recovery code creation,recoveryCode.warningText,ללא הקוד הזה לא תוכל להתחבר חזרה. שמור אותו במקום בטוח.,Without this code you cannot log back in. Keep it safe.
Recovery code creation,recoveryCode.saved,"שמרתי, המשך","Saved, continue"
Recovery code creation,recoveryCode.shareText,🔑 קוד השחזור שלי ל-{poolName}:\n\n{code}\n\n⚠️ שמור הודעה זו - תזדקק לקוד אם תרצה להתחבר מחדש!\n\n{url},🔑 My recovery code for {poolName}:\n\n{code}\n\n⚠️ Keep this message — you\'ll need the code to log back in!\n\n{url}
Recovery code creation,recoveryCode.copiedSave,קוד השחזור הועתק! שמור אותו במקום בטוח,Recovery code copied! Keep it safe
Recovery code creation,recoveryCode.copied,קוד השחזור הועתק!,Recovery code copied!
Create pool,createPool.step1,שלב 1 מתוך 3,Step 1 of 3
Create pool,createPool.title1,איך נקרא להימור?,What should we call the pool?
Create pool,createPool.subtitle1,השם שיוצג לכל המשתתפים,The name everyone will see
Create pool,createPool.placeholder,לדוגמה: חברים מהעבודה,e.g. Coworkers
Create pool,createPool.suggestions,הצעות מהירות:,Quick suggestions:
Create pool,createPool.suggestion1,חברים מהעבודה,Work friends
Create pool,createPool.suggestion2,המשפחה,Family
Create pool,createPool.suggestion3,חברים מהצבא,College buddies
Create pool,createPool.suggestion4,השכונה,The squad
Create pool,createPool.suggestion5,התיכון,Old school
Create pool,createPool.suggestion6,מילואים,Neighbors
Create pool,createPool.suggestion7,קבוצת הוואטסאפ,The group chat
Create pool,createPool.suggestion8,האוניברסיטה,Roommates
Create pool,createPool.errorRequired,נא להזין שם להימור,Please enter a pool name
Create pool,createPool.errorMin,השם חייב להיות לפחות {n} תווים,Name must be at least {n} characters
Admin nickname,adminNickname.step,שלב 2 מתוך 3,Step 2 of 3
